PRODUCT_CODE,PRODUCT_NAME,PRODUCT_PRICE,DISCOUNT_PRICE,DISCOUNT_RATE,PRODUCT_LINK
1,mude inspire skinny curling mascara 3ml,14.00,7.29,48% OFF,https://jolse.com/product/mude-inspire-skinny-curling-mascara-3ml/69879/category/4722/display/1/
2,CORALHAZE Glow Lock Jelly Tint 4g,19.00,6.79,64% OFF,https://jolse.com/product/coralhaze-glow-lock-jelly-tint-4g/83183/category/4722/display/1/
3,A'PIEU Honey & Milk Lip Oil 5g,11.00,3.79,66% OFF,https://jolse.com/product/apieu-honey-milk-lip-oil-5g/13087/category/4722/display/1/
4,Dinto Blur-Glowy Lip Tint 3.5g (30 colors),20.00,6.99,65% OFF,https://jolse.com/product/dinto-blur-glowy-lip-tint-35g-30-colors/64429/category/4722/display/1/
5,SKINFOOD SALMON DARKCIRCLE CONCEALER CREAM 10g,11.50,2.19,81% OFF,https://jolse.com/product/skinfood-salmon-darkcircle-concealer-cream-10g/79390/category/4722/display/1/
6,2aN Gleaming Tension Pact 13g (cushion foundation),33.00,11.99,64% OFF,https://jolse.com/product/2an-gleaming-tension-pact-13g-cushion-foundation/55975/category/4722/display/1/
7,MISSHA M Perfect Cover BB Cream 50ml,16.16,9.49,41% OFF,https://jolse.com/product/missha-m-perfect-cover-bb-cream-50ml/1264/category/4722/display/1/
8,Unleashia Non-Sticky Dazzle Tint 4g,17.00,5.69,67% OFF,https://jolse.com/product/unleashia-non-sticky-dazzle-tint-4g/56375/category/4722/display/1/
9,Unleashia Shaper Pomade Eyebrow Fixer 8g #NO.1 CLEAR,24.00,20.40,15% OFF,https://jolse.com/product/unleashia-shaper-pomade-eyebrow-fixer-8g-no1-clear/58770/category/4722/display/1/
10,ETUDE Color Lasting Glow Stick 3.2g,16.00,13.60,15% OFF,https://jolse.com/product/etude-color-lasting-glow-stick-32g/82223/category/4722/display/1/
11,Peripera Heart Jam Glow Lip,11.00,5.99,46% OFF,https://jolse.com/product/peripera-heart-jam-glow-lip/79758/category/4722/display/1/
12,MISSHA 4D Mascara 7g,8.00,3.89,51% OFF,https://jolse.com/product/missha-4d-mascara-7g/19622/category/4722/display/1/
13,SKINFOOD PEACH COTTON PORE BLUR PACT 4g,9.00,4.86,46% OFF,https://jolse.com/product/skinfood-peach-cotton-pore-blur-pact-4g/80134/category/4722/display/1/
14,BBIA Last Auto Gel Eyeliner 0.3g (22AD),9.48,4.55,52% OFF,https://jolse.com/product/bbia-last-auto-gel-eyeliner-03g-22ad/60705/category/4722/display/1/
15,2aN Pure Glash Highlighter 2.7g,12.00,5.59,53% OFF,https://jolse.com/product/2an-pure-glash-highlighter-27g/76546/category/4722/display/1/
